source,target
19826,1485
19826,1797
19826,1926
19826,5130
19826,5131
19826,21032
19826,21037
19826,22843
19826,30844
19826,33745
19826,42255
19826,59653
19826,59664
19826,63008
19826,71002
19826,101487
19826,297774
19826,297787
80992,338
80992,1115
80992,4153
80992,4183
80992,5051
80992,9028
80992,9622
80992,10656
80992,10660
80992,14762
80992,16925
80992,16931
80992,26118
80992,29474
80992,41778
80992,41779
80992,47271
80992,63139
80992,76954
80992,80964
80992,80966
80992,80967
80992,80969
80992,80970
80992,80975
80992,80976
80992,80977
80992,80982
80992,80983
80992,80984
80992,80985
80992,80986
80992,80987
80992,80988
80992,80989
80992,80991
80992,80993
80992,80994
80992,80995
80992,80996
80992,80997
80992,80998
80992,80999
80992,81000
80992,81001
80992,81002
80992,81006
80992,81007
80992,81012
80992,81014
80992,81015
80992,81016
80992,81017
80992,81019
80992,81022
1109936,1233
1109936,6817
1109936,33989
1109936,33995
1109936,87208
1152506,14755
1152506,14759
1152506,14762
1152506,15583
1152506,24024
1152506,24034
1152506,165280
1152506,165281
1152506,165282
1152506,165285
1152594,14755
1152594,14759
1152594,14762
1152594,15583
1152594,24024
1152594,24034
1152594,165280
1152594,165281
1152594,165282
1152594,165285
1121282,1000
1121282,4183
1121282,4638
1121282,5050
1121282,5051
1121282,5586
1121282,5917
1121282,6608
1121282,6612
1121282,6631
1121282,6632
1121282,10661
1121282,15698
1121282,16912
1121282,31699
1121282,33982
1121282,40712
1121282,55219
1121282,71784
1121282,411241
1121282,411242
1121282,411243
1121282,411244
1121282,411245
1121282,411249
1121282,411252
1121282,411255
1121282,411256
1121282,411259
1121282,411261
1121282,411262
1121282,411263
1121282,411268
1121282,411269
1121282,411270
1121282,411271
1153684,14755
1153684,14759
1153684,14762
1153684,15583
1153684,24024
1153684,24034
1153684,165280
1153684,165281
1153684,165282
1153684,165285
1152952,14755
1152952,14759
1152952,14762
1152952,15583
1152952,24024
1152952,24034
1152952,165280
1152952,165281
1152952,165282
1152952,165285
4527,1000
4527,4530
4527,4531
4527,5051
4527,9028
4527,11036
4527,14755
4527,16912
4527,16913
4527,16914
4527,16915
4527,16917
4527,16918
4527,16919
4527,16920
4527,16922
4527,16924
4527,16925
4527,16926
4527,16927
4527,16928
4527,16931
4527,16932
22112,743
22112,4515
22112,4527
22112,9544
22112,10656
22112,11044
22112,11055
22112,29459
22112,72049
22112,76954
22112,80988
22112,80999
22112,81017
22112,107201
22112,114098
22112,114101
22112,134949
22112,134954
33991,292
33991,1384
33991,4531
33991,6840
33991,10658
33991,11033
33991,11035
33991,11036
33991,11040
33991,11041
33991,11042
33991,11043
33991,11044
33991,11045
33991,11046
33991,11047
33991,11049
33991,11050
33991,11052
33991,11053
33991,11054
33991,11055
33991,11057
33991,11059
98029,3159
